integration,metric_name,metric_type,metric_enabled,metric_enabled,metric_description
PostgreSQL,bgwriter.checkpointsScheduled,Rate,true,,Number of scheduled checkpoints that have been performed
PostgreSQL,bgwriter.checkpointsRequested,Rate,true,,Number of requested checkpoints that have been performed
PostgreSQL,bgwriter.checkpointWriteTimeInMilliseconds,Rate,true,,"Total amount of time that has been spent in the portion of checkpoint processing where files are written to disk, in milliseconds"
PostgreSQL,bgwriter.checkpointSyncTimeInMilliseconds,Rate,true,,"Total amount of time that has been spent in the portion of checkpoint processing where files are synchronized to disk, in milliseconds"
PostgreSQL,bgwriter.buffersWrittenForCheckpoints,Rate,true,,Number of buffers written during checkpoints
PostgreSQL,bgwriter.buffersWrittenByBackgroundWriter,Rate,true,,Number of buffers written by the background writer
PostgreSQL,bgwriter.backgroundWriterStops,Rate,true,,Number of times the background writer stopped a cleaning scan because it had written too many buffers
PostgreSQL,bgwriter.buffersWrittenByBackend,Rate,true,,Number of buffers written directly by a backend
PostgreSQL,bgwriter.backendFsyncCalls,Rate,true,,Number of times a backend had to execute its own fsync call (normally the background writer handles those even when the backend does its own write)
PostgreSQL,bgwriter.buffersAllocated,Gauge,true,,Number of buffers allocated
PostgreSQL,db.connections,Gauge,true,,Number of backends currently connected to this database. 
PostgreSQL,db.commits,Rate,true,,Number of transactions in this database that have been committed
PostgreSQL,db.rollbacks,Rate,true,,Number of transactions in this database that have been rolled back
PostgreSQL,db.reads,Rate,true,,Number of disk blocks read in this database
PostgreSQL,db.bufferHits,Rate,true,,"Number of times disk blocks were found already in the buffer cache, so that a read was not necessary (this only includes hits in the PostgreSQL buffer cache, not the operating system's file system cache)"
PostgreSQL,db.rowsReturned,Rate,true,,Number of rows returned by queries in this database
PostgreSQL,db.rowsFetched,Rate,true,,Number of rows fetched by queries in this database
PostgreSQL,db.rowsInserted,Rate,true,,Number of rows inserted by queries in this database
PostgreSQL,db.rowsUpdated,Rate,true,,Number of rows updated by queries in this database
PostgreSQL,db.rowsDeleted,Rate,true,,Number of rows deleted by queries in this database
PostgreSQL,db.tempFiles,Rate,true,,"Number of temporary files created by queries in this database. All temporary files are counted, regardless of why the temporary file was created (e.g., sorting or hashing), and regardless of the log_temp_files setting."
PostgreSQL,db.tempWrittenInBytes,Rate,true,,"Total amount of data written to temporary files by queries in this database. All temporary files are counted, regardless of why the temporary file was created, and regardless of the log_temp_files setting."
PostgreSQL,db.deadlocks,Rate,true,,Number of deadlocks detected in this database
PostgreSQL,db.readTimeInMilliseconds,Rate,true,,"Time spent reading data file blocks by backends in this database, in milliseconds"
PostgreSQL,db.writeTimeInMilliseconds,Rate,true,,"Time spent writing data file blocks by backends in this database, in milliseconds"
PostgreSQL,db.conflicts.tablespace,Rate,true,,Number of queries in this database that have been canceled due to dropped tablespaces
PostgreSQL,db.conflicts.locks,Rate,true,,Number of queries in this database that have been canceled due to lock timeouts
PostgreSQL,db.conflicts.snapshot,Rate,true,,Number of queries in this database that have been canceled due to old snapshots
PostgreSQL,db.conflicts.bufferpin,Rate,true,,Number of queries in this database that have been canceled due to pinned buffers
PostgreSQL,db.conflicts.deadlock,Rate,true,,Number of queries in this database that have been canceled due to deadlocks
PostgreSQL,db.newRows,Gauge,true,,Number of rows added to a specific db
PostgreSQL,db.newRowsInBytes,Gauge,true,,Number of rows added to a specific db in bytes
PostgreSQL,db.obsoleteRows,Gauge,true,,Number of obsolete rows in a specific db
PostgreSQL,db.obsoleteRowsInBytes,Gauge,true,,Number of obsolete rows in a specific db in bytes
PostgreSQL,db.bloat,Gauge,true,,Difference of new rows and obsolete rows
PostgreSQL,db.bloatInBytes,Gauge,true,,Difference of new rows and obsolete rows in bytes
PostgreSQL,table.newRows,Gauge,true,,Number of rows added to a specific table
PostgreSQL,table.newRowsInBytes,Gauge,true,,Number of rows added to a specific table in bytes
PostgreSQL,table.obsoleteRows,Gauge,true,,Number of obsolete rows in a specific table
PostgreSQL,table.obsoleteRowsInBytes,Gauge,true,,Number of obsolete rows in a specific table in bytes
PostgreSQL,table.bloat,Gauge,true,,Difference of new rows and obsolete rows
PostgreSQL,table.bloatInBytes,Gauge,true,,Difference of new rows and obsolete rows in bytes
PostgreSQL,table.requestsPerSecond,Rate,true,,The request rate
PostgreSQL,table.queriesPerSecond,Rate,true,,The query rate
PostgreSQL,table.transactionsPerSecond,Rate,true,,The transaction rate
PostgreSQL,table.indexSizeInBytes,Gauge,true,,The total disk space used by indexes attached to the specified table.
PostgreSQL,table.lastVacuum,Timestamp,true,,Time of last vacuum on table
PostgreSQL,table.lastAutoVacuum,Timestamp,true,,Time of last auto vacuum on table 
PostgreSQL,table.lastAnalyze,Timestamp,true,,Time of last analyze on table
PostgreSQL,table.lastAutoAnalyze,Timestamp,true,,Time of last auto analyze on table
PostgreSQL,index.blocksRead,Gauge,true,,The number of disk blocks read from all indexes on this table.
PostgreSQL,index.blocksHit,Gauge,true,,The number of buffer hits in all indexes on this table.
PostgreSQL,index.toastBlocksRead,Gauge,true,,The number of disk blocks read from this table's TOAST table index.
PostgreSQL,index.toastBlocksHit,Gauge,true,,The number of buffer hits in this table's TOAST table index.
PostgreSQL,table.totalSizeInBytes,Gauge,true,,"The total disk space used by the table, including indexes and TOAST data"
